Thời điểm,Ngày - giờ,thời gian (giờ),ngày,tháng,lat,lon,trạng thái,cường độ (cấp BF),Vmax (km/h),tốc độ di chuyển (km/h),hướng di chuyển,Pmin (mb),bán kính gió mạnh cấp 6 (km),bán kính gió mạnh cấp 10 (km),bán kính tâm (km)
quá khứ,04/11 - 01h,01,4,11,8.1,147.8,vungthap,05,30,11.1,tây tây bắc,1004,,,
quá khứ,04/11 - 04h,04,4,11,8.1,147.5,vungthap,05,30,40.7,tây tây bắc,1004,,,
quá khứ,04/11 - 07h,07,4,11,8.2,146.4,vungthap,05,30,66.6,tây tây bắc,1004,,,
quá khứ,04/11 - 10h,10,4,11,8.5,144.6,vungthap,05,30,3.7,tây tây bắc,1004,,,
quá khứ,04/11 - 13h,13,4,11,8.6,144.5,vungthap,05,30,11.1,tây tây bắc,1004,,,
quá khứ,04/11 - 16h,16,4,11,8.6,144.2,vungthap,05,30,3.7,tây tây bắc,1004,,,
quá khứ,04/11 - 19h,19,4,11,8.2,144.1,TD,06,39,3.7,tây tây bắc,1002,,,
quá khứ,04/11 - 22h,22,4,11,8.5,144,TD,06,39,7.4,tây tây bắc,1002,,,
quá khứ,05/11 - 01h,01,5,11,8.3,143.8,TD,06,45,11.1,tây tây bắc,1002,,,
quá khứ,05/11 - 04h,04,5,11,8.4,143.5,TD,07,50,18.5,tây tây bắc,1002,,,
quá khứ,05/11 - 07h,07,5,11,7.8,143,TD,07,50,3.7,tây tây bắc,1002,,,
quá khứ,05/11 - 10h,10,5,11,8,142.9,TD,07,56,7.4,tây tây bắc,1002,,,
quá khứ,05/11 - 13h,13,5,11,8,142.7,TD,07,56,0,tây tây bắc,1000,,,
quá khứ,05/11 - 16h,16,5,11,8.3,142.7,TD,07,56,0,tây tây bắc,1000,,,
quá khứ,05/11 - 19h,19,5,11,9.2,142.7,TD,07,56,3.7,tây tây bắc,1000,,,
quá khứ,05/11 - 22h,22,5,11,9.1,142.6,TD,07,56,18.5,tây tây bắc,1000,,,
quá khứ,06/11 - 01h,01,6,11,10.2,142.1,TS,08,65,14.8,tây tây bắc,998,,,
quá khứ,06/11 - 04h,04,6,11,10.3,141.7,TS,08,65,18.5,tây tây bắc,998,,,
quá khứ,06/11 - 07h,07,6,11,10.4,141.2,TS,08,74,29.6,tây tây bắc,994,,,
quá khứ,06/11 - 10h,10,6,11,10.2,140.4,TS,08,74,22.2,tây tây bắc,994,,,
quá khứ,06/11 - 13h,13,6,11,10.2,139.8,TS,08,74,7.4,tây tây bắc,994,,,
quá khứ,06/11 - 16h,16,6,11,10.1,139.6,TS,08,74,7.4,tây tây bắc,994,,,
quá khứ,06/11 - 19h,19,6,11,10.5,139.4,STS,10,93,14.8,tây tây bắc,985,,,
quá khứ,06/11 - 22h,22,6,11,10.7,139,STS,10,93,3.7,tây tây bắc,985,,,
quá khứ,07/11 - 01h,01,7,11,11,138.9,STS,10,102,7.4,tây tây bắc,980,,,
quá khứ,07/11 - 04h,04,7,11,11.3,138.7,STS,11,111,18.5,tây tây bắc,975,,,
quá khứ,07/11 - 07h,07,7,11,11.5,138.2,STS,11,111,25.9,tây tây bắc,975,,,
quá khứ,07/11 - 10h,10,7,11,11.7,137.5,STS,11,111,33.3,tây tây bắc,975,,,
quá khứ,07/11 - 13h,13,7,11,11.7,136.6,STS,11,111,18.5,tây tây bắc,975,,,
quá khứ,07/11 - 16h,16,7,11,11.9,136.1,STS,11,111,22.2,tây tây bắc,975,,,
