Thời điểm,tên bão,năm,tháng,ngày,giờ,vĩ độ,kinh độ,khí áp (hPa),gió (kt),gió (km/h),cấp bão
quá khứ,BUALOI,2025,9,23,12,9.9,134.4,1003.0,25.0,46.3,7
quá khứ,BUALOI,2025,9,23,15,9.7,134.0,1003.0,27.0,50.0,7
quá khứ,BUALOI,2025,9,23,18,9.5,133.7,1002.0,29.0,53.7,7
quá khứ,BUALOI,2025,9,23,21,9.4,133.4,1000.0,34.0,63.0,7
quá khứ,BUALOI,2025,9,24,0,9.5,133.0,997.0,39.0,72.2,8
quá khứ,BUALOI,2025,9,24,3,9.7,132.4,997.0,42.0,77.8,8
quá khứ,BUALOI,2025,9,24,6,10.0,131.8,997.0,45.0,83.3,9
quá khứ,BUALOI,2025,9,24,9,10.2,131.4,996.0,48.0,88.9,10
quá khứ,BUALOI,2025,9,24,12,10.4,131.0,994.0,51.0,94.5,10
quá khứ,BUALOI,2025,9,24,15,10.5,130.6,993.0,53.0,98.2,11
quá khứ,BUALOI,2025,9,24,18,10.7,130.1,991.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,24,21,11.0,129.7,991.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,0,11.2,129.2,991.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,3,11.2,128.7,991.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,6,11.3,128.1,991.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,9,11.6,127.5,992.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,12,12.0,126.8,993.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,15,12.1,126.2,993.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,18,12.1,125.5,993.0,54.0,100.0,11
quá khứ,BUALOI,2025,9,25,21,12.2,124.5,992.0,57.0,105.6,11
quá khứ,BUALOI,2025,9,26,0,12.3,123.3,991.0,60.0,111.1,12
quá khứ,BUALOI,2025,9,26,3,12.5,121.9,992.0,60.0,111.1,12
quá khứ,BUALOI,2025,9,26,6,12.7,120.6,992.0,60.0,111.1,12
quá khứ,BUALOI,2025,9,26,9,12.9,119.8,991.0,60.0,111.1,12
quá khứ,BUALOI,2025,9,26,12,13.1,119.2,990.0,60.0,111.1,12
quá khứ,BUALOI,2025,9,26,15,13.4,118.3,987.0,65.0,120.4,12
quá khứ,BUALOI,2025,9,26,18,13.8,117.3,984.0,70.0,129.6,12
quá khứ,BUALOI,2025,9,26,21,14.3,116.2,983.0,72.0,133.3,13
quá khứ,BUALOI,2025,9,27,0,14.8,115.1,982.0,74.0,137.0,13
quá khứ,BUALOI,2025,9,27,3,15.0,114.4,982.0,74.0,137.0,13
quá khứ,BUALOI,2025,9,27,6,15.2,113.8,981.0,74.0,137.0,13
quá khứ,BUALOI,2025,9,27,9,15.5,113.0,981.0,74.0,137.0,13
quá khứ,BUALOI,2025,9,27,12,15.8,112.1,980.0,74.0,137.0,13
quá khứ,BUALOI,2025,9,27,15,15.8,111.3,983.0,69.0,127.8,12
quá khứ,BUALOI,2025,9,27,18,15.8,110.6,986.0,64.0,118.5,12
quá khứ,BUALOI,2025,9,27,21,16.1,110.0,984.0,67.0,124.1,12
